Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skarpö A;98160;SMHIs stationsnät;10.0

Parameternamn;Beskrivning;Enhet
Vindriktning;medelvärde 10 min, 1 gång/tim;degree true
Vindhastighet;medelvärde 10 min, 1 gång/tim;metre per second

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-09-01 00:00:00;1995-10-31 23:59:59;1.0;59.2998;18.7052
1995-11-01 00:00:00;2014-03-31 23:59:59;16.0;59.2996;18.7047
2015-02-03 13:00:00;2023-03-06 09:00:00;19.287;59.3446;18.7404

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2022-12-12;00:00:00;44;G;7.0;G
2022-12-12;01:00:00;38;G;6.3;G
2022-12-12;02:00:00;22;G;5.1;G
2022-12-12;03:00:00;38;G;6.5;G
2022-12-12;04:00:00;50;G;6.6;G
2022-12-12;05:00:00;48;G;5.9;G
2022-12-12;06:00:00;21;G;5.9;G
2022-12-12;07:00:00;37;G;6.5;G
2022-12-12;08:00:00;28;G;6.5;G
2022-12-12;09:00:00;26;G;7.0;G
2022-12-12;10:00:00;18;G;5.7;G
2022-12-12;11:00:00;12;G;5.4;G
2022-12-12;12:00:00;14;G;5.5;G
2022-12-12;13:00:00;20;G;6.9;G
2022-12-12;14:00:00;20;G;5.8;G
2022-12-12;15:00:00;26;G;8.8;G
2022-12-12;16:00:00;23;G;8.0;G
2022-12-12;17:00:00;23;G;7.7;G
2022-12-12;18:00:00;22;G;9.6;G
2022-12-12;19:00:00;15;G;9.0;G
2022-12-12;20:00:00;23;G;9.6;G
2022-12-12;21:00:00;3;G;6.8;G
2022-12-12;22:00:00;358;G;6.9;G
2022-12-12;23:00:00;356;G;6.5;G
2022-12-13;00:00:00;347;G;5.7;G
2022-12-13;01:00:00;341;G;6.6;G
2022-12-13;02:00:00;337;G;5.4;G
2022-12-13;03:00:00;330;G;5.4;G
2022-12-13;04:00:00;328;G;4.9;G
2022-12-13;05:00:00;323;G;4.6;G
2022-12-13;06:00:00;306;G;4.1;G
2022-12-13;07:00:00;307;G;5.6;G
2022-12-13;08:00:00;314;G;6.2;G
2022-12-13;09:00:00;312;G;6.3;G
2022-12-13;10:00:00;316;G;5.8;G
2022-12-13;11:00:00;305;G;6.0;G
2022-12-13;12:00:00;298;G;5.5;G
2022-12-13;13:00:00;293;G;6.2;G
2022-12-13;14:00:00;292;G;5.4;G
2022-12-13;15:00:00;292;G;5.2;G
2022-12-13;16:00:00;292;G;4.8;G
2022-12-13;17:00:00;285;G;3.8;G
2022-12-13;18:00:00;287;G;3.1;G
2022-12-13;19:00:00;282;G;4.1;G
2022-12-13;20:00:00;282;G;4.0;G
2022-12-13;21:00:00;282;G;3.2;G
2022-12-13;22:00:00;284;G;3.3;G
2022-12-13;23:00:00;271;G;2.3;G
