Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skarpö A;98160;SMHIs stationsnät;10.0

Parameternamn;Beskrivning;Enhet
Vindriktning;medelvärde 10 min, 1 gång/tim;degree true
Vindhastighet;medelvärde 10 min, 1 gång/tim;metre per second

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-09-01 00:00:00;1995-10-31 23:59:59;1.0;59.2998;18.7052
1995-11-01 00:00:00;2014-03-31 23:59:59;16.0;59.2996;18.7047
2015-02-03 13:00:00;2023-03-06 09:00:00;19.287;59.3446;18.7404

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2022-11-20;00:00:00;84;G;3.6;G
2022-11-20;01:00:00;81;G;5.1;G
2022-11-20;02:00:00;68;G;6.0;G
2022-11-20;03:00:00;73;G;5.8;G
2022-11-20;04:00:00;89;G;6.6;G
2022-11-20;05:00:00;71;G;7.4;G
2022-11-20;06:00:00;59;G;5.9;G
2022-11-20;07:00:00;54;G;7.0;G
2022-11-20;08:00:00;73;G;7.5;G
2022-11-20;09:00:00;66;G;5.6;G
2022-11-20;10:00:00;65;G;6.9;G
2022-11-20;11:00:00;69;G;6.1;G
2022-11-20;12:00:00;91;G;10.4;G
2022-11-20;13:00:00;74;G;9.4;G
2022-11-20;14:00:00;75;G;8.3;G
2022-11-20;15:00:00;75;G;9.9;G
2022-11-20;16:00:00;77;G;10.5;G
2022-11-20;17:00:00;135;G;3.8;G
2022-11-20;18:00:00;132;G;5.7;G
2022-11-20;19:00:00;126;G;9.0;G
2022-11-20;20:00:00;136;G;6.0;G
2022-11-20;21:00:00;124;G;8.2;G
2022-11-20;22:00:00;120;G;7.4;G
2022-11-20;23:00:00;125;G;7.3;G
2022-11-21;00:00:00;123;G;6.7;G
2022-11-21;01:00:00;136;G;7.3;G
2022-11-21;02:00:00;126;G;8.1;G
2022-11-21;03:00:00;128;G;6.3;G
2022-11-21;04:00:00;128;G;5.8;G
2022-11-21;05:00:00;120;G;7.8;G
2022-11-21;06:00:00;130;G;7.1;G
2022-11-21;07:00:00;125;G;8.0;G
2022-11-21;08:00:00;98;G;9.7;G
2022-11-21;09:00:00;95;G;9.6;G
2022-11-21;10:00:00;88;G;9.6;G
2022-11-21;11:00:00;108;G;8.0;G
2022-11-21;12:00:00;104;G;4.6;G
2022-11-21;13:00:00;97;G;5.1;G
2022-11-21;14:00:00;127;G;5.3;G
2022-11-21;15:00:00;131;G;6.7;G
2022-11-21;16:00:00;120;G;5.4;G
2022-11-21;17:00:00;120;G;6.1;G
2022-11-21;18:00:00;124;G;9.1;G
2022-11-21;19:00:00;125;G;8.5;G
2022-11-21;20:00:00;123;G;7.4;G
2022-11-21;21:00:00;121;G;8.1;G
2022-11-21;22:00:00;124;G;9.7;G
2022-11-21;23:00:00;125;G;7.5;G
